show,season,episode,name,rating
Breaking Bad,1,1,Pilot,8.2
Breaking Bad,1,2,Cat's in the Bag...,7.9
Breaking Bad,1,3,...and the Bag's in the River,8.1
Breaking Bad,1,4,Cancer Man,7.5
Breaking Bad,1,5,Gray Matter,7.7
Breaking Bad,1,6,Crazy Handful of Nothin',8.8
Breaking Bad,1,7,A No-Rough-Stuff-Type Deal,8
Breaking Bad,2,1,Seven Thirty-Seven,7.9
Breaking Bad,2,2,Grilled,8.3
Breaking Bad,2,3,Bit by a Dead Bee,7.9
Breaking Bad,2,4,Down,7.5
Breaking Bad,2,5,Breakage,7.9
Breaking Bad,2,6,Peekaboo,8.2
Breaking Bad,2,7,Negro Y Azul,8.1
Breaking Bad,2,8,Better Call Saul,8.7
Breaking Bad,2,9,4 Days Out,8.4
Breaking Bad,2,10,Over,8
Breaking Bad,2,11,Mandala,8
Breaking Bad,2,12,Phoenix,8.8
Breaking Bad,2,13,ABQ,8.3
Breaking Bad,3,1,No Más,7.8
Breaking Bad,3,2,Caballo sin Nombre,8
Breaking Bad,3,3,I.F.T.,7.9
Breaking Bad,3,4,Green Light,7.9
Breaking Bad,3,5,Más,8.1
Breaking Bad,3,6,Sunset,8.8
Breaking Bad,3,7,One Minute,9.2
Breaking Bad,3,8,I See You,7.9
Breaking Bad,3,9,Kafkaesque,7.9
Breaking Bad,3,10,Fly,7.3
Breaking Bad,3,11,Abiquiu,7.9
Breaking Bad,3,12,Half Measures,9.2
Breaking Bad,3,13,Full Measure,9.1
Breaking Bad,4,1,Box Cutter,8.2
Breaking Bad,4,2,Thirty-Eight Snub,7.8
Breaking Bad,4,3,Open House,7.3
Breaking Bad,4,4,Bullet Points,7.8
Breaking Bad,4,5,Shotgun,7.7
Breaking Bad,4,6,Cornered,7.8
Breaking Bad,4,7,Problem Dog,8.2
Breaking Bad,4,8,Hermanos,8.3
Breaking Bad,4,9,Bug,8.2
Breaking Bad,4,10,Salud,9.1
Breaking Bad,4,11,Crawl Space,9
Breaking Bad,4,12,End Times,9
Breaking Bad,4,13,Face Off,9.1
Breaking Bad,5,1,Live Free or Die,7.7
Breaking Bad,5,2,Madrigal,7.8
Breaking Bad,5,3,Hazard Pay,7.6
Breaking Bad,5,4,Fifty-One,7.4
Breaking Bad,5,5,Dead Freight,8.3
Breaking Bad,5,6,Buyout,7.8
Breaking Bad,5,7,Say My Name,8.3
Breaking Bad,5,8,Gliding Over All,8.9
Breaking Bad,5,9,Blood Money,8.3
Breaking Bad,5,10,Buried,7.9
Breaking Bad,5,11,Confessions,8.1
Breaking Bad,5,12,Rabid Dog,7.3
Breaking Bad,5,13,To'hajiilee,8.3
Breaking Bad,5,14,Ozymandias,9.1
Breaking Bad,5,15,Granite State,8.2
Breaking Bad,5,16,Felina,8
Game of Thrones,1,1,Winter is Coming,8.2
Game of Thrones,1,2,The Kingsroad,8.2
Game of Thrones,1,3,Lord Snow,8
Game of Thrones,1,4,"Cripples, Bastards, and Broken Things",8.2
Game of Thrones,1,5,The Wolf and the Lion,8.5
Game of Thrones,1,6,A Golden Crown,8.6
Game of Thrones,1,7,You Win or You Die,8.8
Game of Thrones,1,8,The Pointy End,8.2
Game of Thrones,1,9,Baelor,8.9
Game of Thrones,1,10,Fire and Blood,8.9
Game of Thrones,2,1,The North Remembers,8.2
Game of Thrones,2,2,The Night Lands,7.8
Game of Thrones,2,3,What is Dead May Never Die,8.2
Game of Thrones,2,4,Garden of Bones,8.2
Game of Thrones,2,5,The Ghost of Harrenhal,7.9
Game of Thrones,2,6,The Old Gods and the New,8.8
Game of Thrones,2,7,A Man Without Honor,8.2
Game of Thrones,2,8,The Prince of Winterfell,8.3
Game of Thrones,2,9,Blackwater,9.2
Game of Thrones,2,10,Valar Morghulis,9
Game of Thrones,3,1,Valar Dohaeris,7.9
Game of Thrones,3,2,"Dark Wings, Dark Words",7.9
Game of Thrones,3,3,Walk of Punishment,8.3
Game of Thrones,3,4,And Now His Watch is Ended,8.9
Game of Thrones,3,5,Kissed by Fire,8.7
Game of Thrones,3,6,The Climb,8.3
Game of Thrones,3,7,The Bear and the Maiden Fair,7.9
Game of Thrones,3,8,Second Sons,8.6
Game of Thrones,3,9,The Rains of Castamere,9.1
Game of Thrones,3,10,Mhysa,8
Game of Thrones,4,1,Two Swords,8.2
Game of Thrones,4,2,The Lion and the Rose,9
Game of Thrones,4,3,Breaker of Chains,7.9
Game of Thrones,4,4,Oathkeeper,7.9
Game of Thrones,4,5,First of His Name,7.8
Game of Thrones,4,6,The Laws of Gods and Men,8.3
Game of Thrones,4,7,Mockingbird,8.2
Game of Thrones,4,8,The Mountain and the Viper,8.8
Game of Thrones,4,9,The Watchers on the Wall,8.7
Game of Thrones,4,10,The Children,8.3
Game of Thrones,5,1,The Wars to Come,7.6
Game of Thrones,5,2,The House of Black and White,7.6
Game of Thrones,5,3,High Sparrow,7.6
Game of Thrones,5,4,Sons of the Harpy,7.4
Game of Thrones,5,5,Kill the Boy,7.6
Game of Thrones,5,6,"Unbowed, Unbent, Unbroken",7
Game of Thrones,5,7,The Gift,7.9
Game of Thrones,5,8,Hardhome,8.8
Game of Thrones,5,9,The Dance of Dragons,7.9
Game of Thrones,5,10,Mother's Mercy,7.9
Game of Thrones,6,1,The Red Woman,7.4
Game of Thrones,6,2,Home,7.8
Game of Thrones,6,3,Oathbreaker,7.4
Game of Thrones,6,4,Book of the Stranger,7.8
Game of Thrones,6,5,The Door,7.9
Game of Thrones,6,6,Blood of My Blood,7.5
Game of Thrones,6,7,The Broken Man,7.5
Game of Thrones,6,8,No One,7.2
Game of Thrones,6,9,Battle of the Bastards,8.4
Game of Thrones,6,10,The Winds of Winter,8.9
Game of Thrones,7,1,Dragonstone,7.3
Game of Thrones,7,2,Stormborn,7.5
Game of Thrones,7,3,The Queen's Justice,7.7
Game of Thrones,7,4,The Spoils of War,8.1
Game of Thrones,7,5,Eastwatch,7.6
Game of Thrones,7,6,Beyond the Wall,8
Game of Thrones,7,7,The Dragon and the Wolf,8.1
Game of Thrones,8,1,Winterfell,7
Game of Thrones,8,2,A Knight of the Seven Kingdoms,7
Game of Thrones,8,3,The Long Night,7.2
Game of Thrones,8,4,The Last of the Starks,6.1
Game of Thrones,8,5,The Bells,6.2
Game of Thrones,8,6,The Iron Throne,5.3
The Office,1,1,Pilot,7.6
The Office,1,2,Diversity Day,8.1
The Office,1,3,Health Care,7.9
The Office,1,4,The Alliance,8
The Office,1,5,Basketball,8.4
The Office,1,6,Hot Girl,8.1
The Office,2,1,The Dundies,8.1
The Office,2,2,Sexual Harassment,8.2
The Office,2,3,Office Olympics,8.3
The Office,2,4,The Fire,8.4
The Office,2,5,Halloween,8.3
The Office,2,6,The Fight,8.3
The Office,2,7,The Client,8.5
The Office,2,8,Performance Review,8.5
The Office,2,9,E-Mail Surveillance,8.7
The Office,2,10,Christmas Party,8.5
The Office,2,11,Booze Cruise,8.5
The Office,2,12,The Injury,8.4
The Office,2,13,The Secret,7.9
The Office,2,14,The Carpet,8
The Office,2,15,Boys and Girls,8.6
The Office,2,16,Valentine's Day,8.2
The Office,2,17,Dwight's Speech,8.4
The Office,2,18,Take Your Daughter to Work Day,8.1
The Office,2,19,Michael's Birthday,8.4
The Office,2,20,Drug Testing,8.2
The Office,2,21,Conflict Resolution,8.4
The Office,2,22,Casino Night,9.3
The Office,3,1,Gay Witch Hunt,8.7
The Office,3,2,The Convention,8.3
The Office,3,3,The Coup,8.2
The Office,3,4,Grief Counseling,8
The Office,3,5,Initiation,8
The Office,3,6,Diwali,8.1
The Office,3,7,Branch Closing,8.3
The Office,3,8,The Merger,8.5
The Office,3,9,The Convict,8
The Office,3,10,A Benihana Christmas (1),8.5
The Office,3,11,A Benihana Christmas (2),8.5
The Office,3,12,Back from Vacation,8.6
The Office,3,13,Traveling Salesmen,8.1
The Office,3,14,The Return,8.3
The Office,3,15,Ben Franklin,8.3
The Office,3,16,Phyllis' Wedding,8.3
The Office,3,17,Business School,8.5
The Office,3,18,Cocktails,8.5
The Office,3,19,The Negotiation,8.5
The Office,3,20,Safety Training,8.3
The Office,3,21,Product Recall,8.1
The Office,3,22,Women's Appreciation,8.7
The Office,3,23,Beach Games,8.6
The Office,3,24,The Job (1),8.9
The Office,3,25,The Job (2),9.3
The Office,4,1,Fun Run (1),8
The Office,4,2,Fun Run (2),8.1
The Office,4,3,Dunder Mifflin Infinity (1),8.2
The Office,4,4,Dunder Mifflin Infinity (2),8.3
The Office,4,5,Launch Party (1),8.4
The Office,4,6,Launch Party (2),8.2
The Office,4,7,Money (1),8.1
The Office,4,8,Money (2),8.1
The Office,4,9,Local Ad,8.2
The Office,4,10,Branch Wars,7.8
The Office,4,11,Survivor Man,7.8
The Office,4,12,The Deposition,7.8
The Office,4,13,Dinner Party,8.8
The Office,4,14,Chair Model,8
The Office,4,15,Night Out,8.2
The Office,4,16,Did I Stutter?,7.9
The Office,4,17,Job Fair,7.7
The Office,4,18,"Goodbye, Toby (1)",8.3
The Office,4,19,"Goodbye, Toby (2)",9
The Office,5,1,Weight Loss (1),8.3
The Office,5,2,Weight Loss (2),8.3
The Office,5,3,Business Ethics,7.7
The Office,5,4,Baby Shower,7.8
The Office,5,5,Crime Aid,8
The Office,5,6,Employee Transfer,8.2
The Office,5,7,Customer Survey,8.4
The Office,5,8,Business Trip,8.3
The Office,5,9,Frame Toby,8.7
The Office,5,10,The Surplus,8.2
The Office,5,11,Moroccan Christmas,8.3
The Office,5,12,The Duel,8.1
The Office,5,13,Prince Family Paper,8.6
The Office,5,14,Stress Relief (1),8.1
The Office,5,15,Stress Relief (2),7.7
The Office,5,16,Lecture Circuit (1),8.3
The Office,5,17,Lecture Circuit (2),8.4
The Office,5,18,Blood Drive,7.9
The Office,5,19,Golden Ticket,8.1
The Office,5,20,New Boss,8.1
The Office,5,21,Two Weeks,8.1
The Office,5,22,Dream Team,8.4
The Office,5,23,The Michael Scott Paper Company,8.7
The Office,5,24,Heavy Competition,8.1
The Office,5,25,Broke,8.8
The Office,5,26,Casual Friday,8.3
The Office,5,27,Cafe Disco,8.7
The Office,5,28,Company Picnic,9
The Office,6,1,Gossip,8
The Office,6,2,The Meeting,8.1
The Office,6,3,The Promotion,7.4
The Office,6,4,Niagara (1),9
The Office,6,5,Niagara (2),8.9
The Office,6,6,Mafia,7.8
The Office,6,7,The Lover,7.7
The Office,6,8,Koi Pond,8
The Office,6,9,Double Date,8.1
The Office,6,10,Murder,8.1
The Office,6,11,Shareholder Meeting,8.2
The Office,6,12,Scott's Tots,8.5
The Office,6,13,Secret Santa,7.3
The Office,6,14,The Banker,7.4
The Office,6,15,Sabre,7.7
The Office,6,16,The Manager and the Salesman,8.1
The Office,6,17,The Delivery (1),8.2
The Office,6,18,The Delivery (2),8
The Office,6,19,St. Patrick's Day,7.6
The Office,6,20,New Leads,7.7
The Office,6,21,Happy Hour,8.1
The Office,6,22,Secretary's Day,8.5
The Office,6,23,Body Language,8.1
The Office,6,24,The Cover-Up,8.2
The Office,6,25,The Chump,8
The Office,6,26,Whistleblower,8
The Office,7,1,Nepotism,8.2
The Office,7,2,Counseling,7.4
The Office,7,3,Andy's Play,8.1
The Office,7,4,Sex Ed,7.9
The Office,7,5,The Sting,7.7
The Office,7,6,Costume Contest,8
The Office,7,7,Christening,7.5
The Office,7,8,Viewing Party,8.1
The Office,7,9,WUPHF.com,7.7
The Office,7,10,China,7.8
The Office,7,11,Classy Christmas (1),8.2
The Office,7,12,Classy Christmas (2),8.6
The Office,7,13,Ultimatum,7.8
The Office,7,14,The Seminar,7.8
The Office,7,15,The Search,8.3
The Office,7,16,PDA,7.9
The Office,7,17,Threat Level Midnight,8.6
The Office,7,18,Todd Packer,7.4
The Office,7,19,Garage Sale,8.8
The Office,7,20,Training Day,7.4
The Office,7,21,Michael's Last Dundies,8.7
The Office,7,22,"Goodbye, Michael (1)",9
The Office,7,23,"Goodbye, Michael (2)",9
The Office,7,24,The Inner Circle,7.4
The Office,7,25,"Dwight K. Schrute, (Acting) Manager",8.1
The Office,7,26,Search Committee (1),7.9
The Office,7,27,Search Committee (2),7.9
The Office,8,1,The List,7.5
The Office,8,2,The Incentive,7.6
The Office,8,3,Lotto,7.2
The Office,8,4,Garden Party,7.8
The Office,8,5,Spooked,7.1
The Office,8,6,Doomsday,7.1
The Office,8,7,Pam's Replacement,7.4
The Office,8,8,Gettysburg,6.7
The Office,8,9,Mrs. California,7.2
The Office,8,10,Christmas Wishes,7.8
The Office,8,11,Trivia,7.6
The Office,8,12,Pool Party,7.4
The Office,8,13,Jury Duty,7.1
The Office,8,14,Special Project,7.5
The Office,8,15,Tallahassee,7.5
The Office,8,16,After Hours,7.8
The Office,8,17,Test the Store,7.9
The Office,8,18,Last Day in Florida,7.8
The Office,8,19,Get the Girl,7.7
The Office,8,20,Welcome Party,7.5
The Office,8,21,Angry Andy,7
The Office,8,22,Fundraiser,7.1
The Office,8,23,Turf War,7.1
The Office,8,24,Free Family Portrait Studio,7.5
The Office,9,1,The New Guys,7.2
The Office,9,2,Roy's Wedding,7
The Office,9,3,Andy's Ancestry,7.2
The Office,9,4,Work Bus,7.6
The Office,9,5,Here Comes Treble,6.8
The Office,9,6,The Boat,7.5
The Office,9,7,The Whale,7.3
The Office,9,8,The Target,7.5
The Office,9,9,Dwight Christmas,8.1
The Office,9,10,Lice,7.5
The Office,9,11,Suit Warehouse,7.5
The Office,9,12,Customer Loyalty,7.7
The Office,9,13,Junior Salesman,7
The Office,9,14,Vandalism,7.1
The Office,9,15,Couples Discount,7.2
The Office,9,16,Moving On,7.4
The Office,9,17,The Farm,7.3
The Office,9,18,Promos,7.5
The Office,9,19,Stairmageddon,7.1
The Office,9,20,Paper Airplane,7.4
The Office,9,21,Livin' the Dream,8
The Office,9,22,A.A.R.M. (1),8.5
The Office,9,23,A.A.R.M. (2),8.9
The Office,9,24,Finale (1),9.5
The Office,9,25,Finale (2),9
Succession,1,1,Celebration,6.4
Succession,1,2,Sh*t Show at the F**k Factory,7.2
Succession,1,3,Lifeboats,7.2
Succession,1,4,Sad Sack Wasp Trap,7.4
Succession,1,5,I Went to Market,7.5
Succession,1,6,Which Side Are You On?,7.7
Succession,1,7,Austerlitz,7.5
Succession,1,8,Prague,7.6
Succession,1,9,Pre-Nuptial,8
Succession,1,10,Nobody Is Ever Missing,7.6
Succession,2,1,The Summer Palace,7.6
Succession,2,2,Vaulter,7.8
Succession,2,3,Hunting,8
Succession,2,4,Safe Room,7.8
Succession,2,5,Tern Haven,8.2
Succession,2,6,Argestes,8.4
Succession,2,7,Return,7.8
Succession,2,8,Dundee,7.8
Succession,2,9,DC,8.1
Succession,2,10,This Is Not For Tears,8.5
Succession,3,1,Secession,7.8
Succession,3,2,Mass in Time of War,7.3
Succession,3,3,The Disruption,7.6
Succession,3,4,Lion in the Meadow,7.5
Succession,3,5,Retired Janitors of Idaho,7.7
Succession,3,6,What It Takes,7.5
Succession,3,7,Too Much Birthday,7.2
Succession,3,8,Chiantishire,7.8
Succession,3,9,All the Bells Say,8.3
Succession,4,1,The Munsters,7.8
Succession,4,2,Rehearsal,8.1
Succession,4,3,Connor's Wedding,9
Succession,4,4,Honeymoon States,8.2
Succession,4,5,Kill List,8.2
Succession,4,6,Living+,8.2
Succession,4,7,Tailgate Party,8.1
Succession,4,8,America Decides,8.2
Succession,4,9,Church and State,8.3
Succession,4,10,With Open Eyes,8.7
The Simpsons,1,1,Simpsons Roasting on an Open Fire,7.8
The Simpsons,1,2,Bart the Genius,7.5
The Simpsons,1,3,Homer's Odyssey,7.7
The Simpsons,1,4,There's No Disgrace Like Home,8
The Simpsons,1,5,Bart the General,8.2
The Simpsons,1,6,Moaning Lisa,8.1
The Simpsons,1,7,The Call of the Simpsons,7.6
The Simpsons,1,8,The Telltale Head,7.5
The Simpsons,1,9,Life on the Fast Lane,7.6
The Simpsons,1,10,Homer's Night Out,8.4
The Simpsons,1,11,The Crepes of Wrath,8.4
The Simpsons,1,12,Krusty Gets Busted,8.4
The Simpsons,1,13,Some Enchanted Evening,8.4
The Simpsons,2,1,Bart Gets an F,7.9
The Simpsons,2,2,Simpson and Delilah,7.6
The Simpsons,2,3,Treehouse of Horror,7.9
The Simpsons,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,7.9
The Simpsons,2,5,Dancin' Homer,7.5
The Simpsons,2,6,Dead Putting Society,8.2
The Simpsons,2,7,Bart vs. Thanksgiving,7.7
The Simpsons,2,8,Bart the Daredevil,8.1
The Simpsons,2,9,Itchy & Scratchy & Marge,7.9
The Simpsons,2,10,Bart Gets Hit by a Car,8.1
The Simpsons,2,11,"One Fish, Two Fish, Blowfish, Blue Fish",9.1
The Simpsons,2,12,The Way We Was,8.2
The Simpsons,2,13,Homer vs. Lisa and the Eighth Commandment,8.4
The Simpsons,2,14,Principal Charming,7.8
The Simpsons,2,15,"Oh Brother, Where Art Thou?",8.7
The Simpsons,2,16,Bart's Dog Gets an F,8.5
The Simpsons,2,17,Old Money,8.5
The Simpsons,2,18,Brush with Greatness,8.1
The Simpsons,2,19,Lisa's Substitute,8.7
The Simpsons,2,20,The War of the Simpsons,8
The Simpsons,2,21,Three Men and a Comic Book,8.5
The Simpsons,2,22,Blood Feud,8.3
The Simpsons,3,1,Stark Raving Dad,8.7
The Simpsons,3,2,Mr. Lisa Goes to Washington,8.5
The Simpsons,3,3,When Flanders Failed,8.6
The Simpsons,3,4,Bart the Murderer,8.8
The Simpsons,3,5,Homer Defined,8.5
The Simpsons,3,6,Like Father Like Clown,8.1
The Simpsons,3,7,Treehouse of Horror II,8.4
The Simpsons,3,8,Lisa's Pony,8.3
The Simpsons,3,9,Saturdays of Thunder,8.4
The Simpsons,3,10,Flaming Moe's,8.8
The Simpsons,3,11,Burns Verkaufen der Kraftwerk,8.2
The Simpsons,3,12,I Married Marge,8.1
The Simpsons,3,13,Radio Bart,8.7
The Simpsons,3,14,Lisa the Greek,8.3
The Simpsons,3,15,Homer Alone,8.2
The Simpsons,3,16,Bart the Lover,8.5
The Simpsons,3,17,Homer at the Bat,8.7
The Simpsons,3,18,Separate Vocations,8.6
The Simpsons,3,19,Dog of Death,8.6
The Simpsons,3,20,Colonel Homer,8.8
The Simpsons,3,21,Black Widower,8.5
The Simpsons,3,22,The Otto Show,7.2
The Simpsons,3,23,Bart's Friend Falls in Love,8
The Simpsons,3,24,"Brother, Can You Spare Two Dimes?",8.8
The Simpsons,4,1,Kamp Krusty,8.5
The Simpsons,4,2,A Streetcar Named Marge,8.7
The Simpsons,4,3,Homer the Heretic,8.8
The Simpsons,4,4,Lisa the Beauty Queen,8
The Simpsons,4,5,Treehouse of Horror III,9
The Simpsons,4,6,Itchy & Scratchy: The Movie,8.8
The Simpsons,4,7,Marge Gets a Job,8.5
The Simpsons,4,8,The New Kid on the Block,8.5
The Simpsons,4,9,Mr. Plow,8.7
The Simpsons,4,10,Lisa's First Word,8.7
The Simpsons,4,11,Homer's Triple Bypass,8.6
The Simpsons,4,12,Marge vs. the Monorail,9
The Simpsons,4,13,Selma's Choice,8.2
