"country","iso3","year","exports_usd","rank"
"Canada","CAN",2023,724806087191.631,13
"Canada","CAN",2022,743495409319.726,12
"Canada","CAN",2021,630478158309.719,14
"Canada","CAN",2020,487990676642.934,14
"Canada","CAN",2019,564142104614.779,12
"Canada","CAN",2018,557719627178.031,12
"Canada","CAN",2017,518766780219.71,12
"Canada","CAN",2016,481357649980.237,12
"Canada","CAN",2015,495747450357.728,12
"Canada","CAN",2014,573083180253.852,12
"Canada","CAN",2013,560108797442.998,13
"Canada","CAN",2012,554964544782.69,13
"Canada","CAN",2011,550163771962.44,12
"Canada","CAN",2010,471736717163.276,11
"Canada","CAN",2009,391985828011.548,10
"Canada","CAN",2008,534150890346.767,9
"Canada","CAN",2007,502770691741.923,9
"Canada","CAN",2006,467052186177.715,9
"Canada","CAN",2005,432369202838.752,9
"Canada","CAN",2004,383240584166.026,9
"Canada","CAN",2003,330149882235.386,9
"Canada","CAN",2002,304705919836.87,8
"Canada","CAN",2001,310667613636.364,6
"Canada","CAN",2000,329258635782.102,6
"China","CHN",2023,3490089712362.99,1
"China","CHN",2022,3717887818646.97,1
"China","CHN",2021,3554107780957.44,1
"China","CHN",2020,2729884575163.89,1
"China","CHN",2019,2628941104657.6,1
"China","CHN",2018,2655609176087.45,1
"China","CHN",2017,2424216052098.35,1
"China","CHN",2016,2199974853570.14,2
"China","CHN",2015,2362097053274.6,1
"China","CHN",2014,2462825804851.16,1
"China","CHN",2013,2354264539609.2,1
"China","CHN",2012,2175069254663.85,2
"China","CHN",2011,2006308960976.47,2
"China","CHN",2010,1654823329663.86,2
"China","CHN",2009,1262664161019.72,2
"China","CHN",2008,1497868782939.59,3
"China","CHN",2007,1258056795940.68,3
"China","CHN",2006,991731387760.501,3
"China","CHN",2005,773339005396.99,3
"China","CHN",2004,607356934124.72,4
"China","CHN",2003,447958253781.62,6
"China","CHN",2002,333002310923.451,6
"China","CHN",2001,272060010515.89,9
"China","CHN",2000,253092089737,9
"France","FRA",2023,1053069574154.53,5
"France","FRA",2022,1023340977697.09,5
"France","FRA",2021,928139254791.07,5
"France","FRA",2020,756174143647.162,7
"France","FRA",2019,895514790269.018,5
"France","FRA",2018,915638789626.901,6
"France","FRA",2017,836510836277.649,5
"France","FRA",2016,778134181664.243,6
"France","FRA",2015,774108364253.242,6
"France","FRA",2014,879595852391.448,5
"France","FRA",2013,861474336499.179,4
"France","FRA",2012,814445012227.5,6
"France","FRA",2011,847885600684.827,5
"France","FRA",2010,736352883613.335,5
"France","FRA",2009,698805241356.796,4
"France","FRA",2008,854598937578.437,5
"France","FRA",2007,766429838941.689,6
"France","FRA",2006,670507475708.117,6
"France","FRA",2005,617386391343.813,6
"France","FRA",2004,580996794039.114,6
"France","FRA",2003,497989403585.685,4
"France","FRA",2002,428784967658.903,5
"France","FRA",2001,403310126488.544,5
"France","FRA",2000,404994866619.609,5
"Germany","DEU",2023,1960255682615.72,3
"Germany","DEU",2022,1916859170749.03,3
"Germany","DEU",2021,1851846071996.09,3
"Germany","DEU",2020,1541867660412.46,3
"Germany","DEU",2019,1676629137011.76,3
"Germany","DEU",2018,1723433049609.41,3
"Germany","DEU",2017,1589089750187.06,3
"Germany","DEU",2016,1472560807845.53,3
"Germany","DEU",2015,1458592274325,3
"Germany","DEU",2014,1653100023449.01,3
"Germany","DEU",2013,1586778324179.22,3
"Germany","DEU",2012,1535179851348.05,3
"Germany","DEU",2011,1592275709231.52,3
"Germany","DEU",2010,1369340699300,3
"Germany","DEU",2009,1233301486982.42,3
"Germany","DEU",2008,1559414079161.72,2
"Germany","DEU",2007,1415809341318.83,2
"Germany","DEU",2006,1187129764083.53,2
"Germany","DEU",2005,1040265986689.49,2
"Germany","DEU",2004,967940099859.462,2
"Germany","DEU",2003,792550922245.881,2
"Germany","DEU",2002,655732684858.04,2
"Germany","DEU",2001,600934274699.607,2
"Germany","DEU",2000,583812721397.648,2
"Hong Kong SAR, China","HKG",2023,673672659195.26,14
"Hong Kong SAR, China","HKG",2022,697583336451.117,14
"Hong Kong SAR, China","HKG",2021,752719132923.809,10
"Hong Kong SAR, China","HKG",2020,608150234620.739,10
"Hong Kong SAR, China","HKG",2019,645006704384.439,10
"Hong Kong SAR, China","HKG",2018,681282515787.459,9
"Hong Kong SAR, China","HKG",2017,644673433249.5,9
"Hong Kong SAR, China","HKG",2016,600025250410.641,9
"Hong Kong SAR, China","HKG",2015,606079014416.1,9
"Hong Kong SAR, China","HKG",2014,621073310667.425,10
"Hong Kong SAR, China","HKG",2013,610972021660.65,9
"Hong Kong SAR, China","HKG",2012,566883265817.194,12
"Hong Kong SAR, China","HKG",2011,528967240493.32,13
"Hong Kong SAR, China","HKG",2010,469446853182.587,12
"Hong Kong SAR, China","HKG",2009,381294159383.365,11
"Hong Kong SAR, China","HKG",2008,424118380347.954,13
"Hong Kong SAR, China","HKG",2007,394442958247.201,11
"Hong Kong SAR, China","HKG",2006,358398925414.591,11
"Hong Kong SAR, China","HKG",2005,322200039525.117,11
"Hong Kong SAR, China","HKG",2004,283708654340.01,11
"Hong Kong SAR, China","HKG",2003,243330657848.268,10
"Hong Kong SAR, China","HKG",2002,219708197945.946,10
"Hong Kong SAR, China","HKG",2001,207977175829.46,10
"Hong Kong SAR, China","HKG",2000,216356805084.527,10
"India","IND",2023,780408530088.596,9
"India","IND",2022,778021514754.531,10
"India","IND",2021,677769255428.552,13
"India","IND",2020,499728529072.629,13
"India","IND",2019,529245063167.215,14
"India","IND",2018,538635186135.438,13
"India","IND",2017,498258808231.521,13
"India","IND",2016,439642578076.358,14
"India","IND",2015,416787940847.812,14
"India","IND",2014,468345815420.933,15
"India","IND",2013,472180271340.149,15
"India","IND",2012,448400477361.254,15
"India","IND",2011,447384417625.093,15
"India","IND",2010,375353514026.267,15
"India","IND",2009,273752124889.211,17
"India","IND",2008,288902044820.698,19
"India","IND",2007,253077526013.168,18
"India","IND",2006,199973922363.783,20
"India","IND",2005,160838260680.778,22
"India","IND",2004,126648472020.752,23
"India","IND",2003,90838575243.7621,26
"India","IND",2002,73452895951.6331,27
"India","IND",2001,60963415576.6447,29
"India","IND",2000,60878472821.2004,29
"Ireland","IRL",2023,774613383952.367,10
"Ireland","IRL",2022,764969597258.952,11
"Ireland","IRL",2021,723445227902.702,11
"Ireland","IRL",2020,609592461958.134,9
"Ireland","IRL",2019,534361678398.431,13
"Ireland","IRL",2018,498559384824.956,16
"Ireland","IRL",2017,447623457263.236,16
"Ireland","IRL",2016,394551308718.876,17
"Ireland","IRL",2015,382724762971.242,18
"Ireland","IRL",2014,306723211566.732,22
"Ireland","IRL",2013,266600810534.032,24
"Ireland","IRL",2012,235594088468.648,26
"Ireland","IRL",2011,246785523404.183,26
"Ireland","IRL",2010,229110049418.5,22
"Ireland","IRL",2009,221207094301.402,19
"Ireland","IRL",2008,232293869047.102,22
"Ireland","IRL",2007,218323414731.699,21
"Ireland","IRL",2006,183503168969.259,21
"Ireland","IRL",2005,168500867903.253,20
"Ireland","IRL",2004,156422059727.244,19
"Ireland","IRL",2003,133120814359.851,19
"Ireland","IRL",2002,116314428261.102,18
"Ireland","IRL",2001,104124679774.154,18
"Ireland","IRL",2000,94585397045.1296,20
"Italy","ITA",2023,772202263040.014,11
"Italy","ITA",2022,738509644128.602,13
"Italy","ITA",2021,679294123497.663,12
"Italy","ITA",2020,547940256804.982,12
"Italy","ITA",2019,625065757185.881,11
"Italy","ITA",2018,646909638534.745,11
"Italy","ITA",2017,593973032350.354,10
"Italy","ITA",2016,543464412394.32,10
"Italy","ITA",2015,537833599948.242,11
"Italy","ITA",2014,622037943985.684,9
"Italy","ITA",2013,606723898231.296,10
"Italy","ITA",2012,587109493950.117,10
"Italy","ITA",2011,612801201125.488,9
"Italy","ITA",2010,534489188500.001,9
"Italy","ITA",2009,492210347985.156,8
"Italy","ITA",2008,646508511780.156,8
"Italy","ITA",2007,605527905412.943,7
"Italy","ITA",2006,510265819331.293,7
"Italy","ITA",2005,457141717037.821,7
"Italy","ITA",2004,433747867067.607,7
"Italy","ITA",2003,367620453604.666,7
"Italy","ITA",2002,311627059267.452,7
"Italy","ITA",2001,299586464835.355,7
"Italy","ITA",2000,293867190140.393,7
"Japan","JPN",2023,920644083095.705,7
"Japan","JPN",2022,918408424578.807,8
"Japan","JPN",2021,912549013982.719,6
"Japan","JPN",2020,785057625362.297,5
"Japan","JPN",2019,893782209080.495,6
"Japan","JPN",2018,923234601723.625,4
"Japan","JPN",2017,867405253150.188,4
"Japan","JPN",2016,803489014102.661,4
"Japan","JPN",2015,775051882733.212,5
"Japan","JPN",2014,852990577902.813,6
"Japan","JPN",2013,822722049495.078,6
"Japan","JPN",2012,904146988796.653,4
"Japan","JPN",2011,920913976671.968,4
"Japan","JPN",2010,859167320527.627,4
"Japan","JPN",2009,656932075524.126,5
"Japan","JPN",2008,880163893981.685,4
"Japan","JPN",2007,791798969881.999,4
"Japan","JPN",2006,720499607478.291,5
"Japan","JPN",2005,667510447457.861,4
"Japan","JPN",2004,625646760881.018,3
"Japan","JPN",2003,518203970379.571,3
"Japan","JPN",2002,454066577343.924,3
"Japan","JPN",2001,440830946383.947,3
"Japan","JPN",2000,519863963884.546,3
"Korea, Rep.","KOR",2023,762299062736.35,12
"Korea, Rep.","KOR",2022,815019022384.453,9
"Korea, Rep.","KOR",2021,764083221345.796,9
"Korea, Rep.","KOR",2020,603713417774.2,11
"Korea, Rep.","KOR",2019,648610576582.722,9
"Korea, Rep.","KOR",2018,719710064860.371,8
"Korea, Rep.","KOR",2017,664392456663.161,8
"Korea, Rep.","KOR",2016,601861440813.944,8
"Korea, Rep.","KOR",2015,630586518885.63,8
"Korea, Rep.","KOR",2014,712570950951.712,8
"Korea, Rep.","KOR",2013,706343252061.106,8
"Korea, Rep.","KOR",2012,694692887431.358,7
"Korea, Rep.","KOR",2011,670299926919.72,8
"Korea, Rep.","KOR",2010,540016342977.708,8
"Korea, Rep.","KOR",2009,427737777325.304,9
"Korea, Rep.","KOR",2008,500458646625.411,11
"Korea, Rep.","KOR",2007,440034853640.644,10
"Korea, Rep.","KOR",2006,377241080634.967,10
"Korea, Rep.","KOR",2005,331627733440.925,10
"Korea, Rep.","KOR",2004,293159147249.081,10
"Korea, Rep.","KOR",2003,221795023926.368,12
"Korea, Rep.","KOR",2002,187653181633.942,12
"Korea, Rep.","KOR",2001,175166805500.193,11
"Korea, Rep.","KOR",2000,196359987002.164,11
"Netherlands","NLD",2023,993383113411.782,6
"Netherlands","NLD",2022,1009321846482.49,6
"Netherlands","NLD",2021,911591180290.683,7
"Netherlands","NLD",2020,757626674438.913,6
"Netherlands","NLD",2019,792548771333.332,7
"Netherlands","NLD",2018,809393154293.333,7
"Netherlands","NLD",2017,722521486847.06,7
"Netherlands","NLD",2016,644981374821.013,7
"Netherlands","NLD",2015,651561445019.531,7
"Netherlands","NLD",2014,733707070162.35,7
"Netherlands","NLD",2013,710442214009.414,7
"Netherlands","NLD",2012,672962028018.75,8
"Netherlands","NLD",2011,686455260573.931,7
"Netherlands","NLD",2010,590650523650.001,7
"Netherlands","NLD",2009,541451746607.031,7
"Netherlands","NLD",2008,666753754958.594,7
"Netherlands","NLD",2007,586439887282.747,8
"Netherlands","NLD",2006,502638809837.646,8
"Netherlands","NLD",2005,451318628108.949,8
"Netherlands","NLD",2004,413899788533.206,8
"Netherlands","NLD",2003,345031067457.254,8
"Netherlands","NLD",2002,285816678856.471,9
"Netherlands","NLD",2001,274109208168.504,8
"Netherlands","NLD",2000,277498466740.393,8
"Russian Federation","RUS",2023,465937815839.194,21
"Russian Federation","RUS",2022,635241831700.755,15
"Russian Federation","RUS",2021,548800273711.107,16
"Russian Federation","RUS",2020,381065599584.428,19
"Russian Federation","RUS",2019,481410680627.341,18
"Russian Federation","RUS",2018,510345505266.608,14
"Russian Federation","RUS",2017,410722481424.915,19
"Russian Federation","RUS",2016,330106509740.16,20
"Russian Federation","RUS",2015,391365600741.085,17
"Russian Federation","RUS",2014,558282985966.489,13
"Russian Federation","RUS",2013,592496613389.693,12
"Russian Federation","RUS",2012,594192620575.645,9
"Russian Federation","RUS",2011,573991024064.42,10
"Russian Federation","RUS",2010,445512969856.508,13
"Russian Federation","RUS",2009,341584048925.976,14
"Russian Federation","RUS",2008,520004224863.321,10
"Russian Federation","RUS",2007,392043343368.837,12
"Russian Federation","RUS",2006,333908794239.615,13
"Russian Federation","RUS",2005,268957047128.595,15
"Russian Federation","RUS",2004,203415480735.856,17
"Russian Federation","RUS",2003,151697387187.714,17
"Russian Federation","RUS",2002,121649122807.018,17
"Russian Federation","RUS",2001,113116215289.681,17
"Russian Federation","RUS",2000,114429434767.153,17
"Singapore","SGP",2023,917682665719.369,8
"Singapore","SGP",2022,947354945030.236,7
"Singapore","SGP",2021,797699635946.268,8
"Singapore","SGP",2020,634720766636.081,8
"Singapore","SGP",2019,665397849809.186,8
"Singapore","SGP",2018,672027857970.022,10
"Singapore","SGP",2017,590230171805.131,11
"Singapore","SGP",2016,525980387189.424,11
"Singapore","SGP",2015,549421999163.53,10
"Singapore","SGP",2014,604391776173,11
"Singapore","SGP",2013,600013186286.262,11
"Singapore","SGP",2012,580505587048.163,11
"Singapore","SGP",2011,568009168564.196,11
"Singapore","SGP",2010,474817309469.398,10
"Singapore","SGP",2009,370525982887.767,12
"Singapore","SGP",2008,443371610356.07,12
"Singapore","SGP",2007,385006655156.718,13
"Singapore","SGP",2006,338926122120.945,12
"Singapore","SGP",2005,287771727538.562,13
"Singapore","SGP",2004,246116322768.289,14
"Singapore","SGP",2003,197818139655.823,14
"Singapore","SGP",2002,170350298337.753,15
"Singapore","SGP",2001,164227617773.506,15
"Singapore","SGP",2000,180961018304.917,12
"United Kingdom","GBR",2023,1091653856200.64,4
"United Kingdom","GBR",2022,1083593172366.25,4
"United Kingdom","GBR",2021,935667446175.151,4
"United Kingdom","GBR",2020,815801724783.58,4
"United Kingdom","GBR",2019,917433768894.232,4
"United Kingdom","GBR",2018,922834772428.163,5
"United Kingdom","GBR",2017,836020370556.138,6
"United Kingdom","GBR",2016,786640412453.566,5
"United Kingdom","GBR",2015,821200386071.742,4
"United Kingdom","GBR",2014,880315812062.876,4
"United Kingdom","GBR",2013,844879329622.476,5
"United Kingdom","GBR",2012,829500825756.786,5
"United Kingdom","GBR",2011,836521134497.73,6
"United Kingdom","GBR",2010,717722225201.667,6
"United Kingdom","GBR",2009,648817572830.659,6
"United Kingdom","GBR",2008,806393382352.941,6
"United Kingdom","GBR",2007,788841536614.646,5
"United Kingdom","GBR",2006,745508739650.414,4
"United Kingdom","GBR",2005,643121818181.818,5
"United Kingdom","GBR",2004,582770047601.611,5
"United Kingdom","GBR",2003,494048979591.837,5
"United Kingdom","GBR",2002,437455035971.223,4
"United Kingdom","GBR",2001,421484093853.462,4
"United Kingdom","GBR",2000,427199273717.658,4
"United States","USA",2023,3.052469e+12,2
"United States","USA",2022,3.017379e+12,2
"United States","USA",2021,2.55543e+12,2
"United States","USA",2020,2.151139e+12,2
"United States","USA",2019,2.539391e+12,2
"United States","USA",2018,2.538089e+12,2
"United States","USA",2017,2.38826e+12,2
"United States","USA",2016,2.235558e+12,1
"United States","USA",2015,2.270622e+12,2
"United States","USA",2014,2.378545e+12,2
"United States","USA",2013,2.287922e+12,2
"United States","USA",2012,2.2177e+12,1
"United States","USA",2011,2.115864e+12,1
"United States","USA",2010,1.857247e+12,1
"United States","USA",2009,1.582774e+12,1
"United States","USA",2008,1.83528e+12,1
"United States","USA",2007,1.659295e+12,1
"United States","USA",2006,1.47017e+12,1
"United States","USA",2005,1.30158e+12,1
"United States","USA",2004,1.176363e+12,1
"United States","USA",2003,1.035165e+12,1
"United States","USA",2002,9.97979e+11,1
"United States","USA",2001,1.026812e+12,1
"United States","USA",2000,1.096111e+12,1
