Entity,Code,Year,Solar PV module cost,Cumulative installed solar PV capacity
World,OWID_WRL,1975,128.26924,0.54
World,OWID_WRL,1976,96.507935,1.08
World,OWID_WRL,1977,70.407074,2.16
World,OWID_WRL,1978,49.813416,3.51
World,OWID_WRL,1979,41.855152,5.235
World,OWID_WRL,1980,35.46944,7.965
World,OWID_WRL,1981,28.358482,12.88
World,OWID_WRL,1982,25.479465,19.405
World,OWID_WRL,1983,20.569576,29.255
World,OWID_WRL,1984,19.113127,46.705
World,OWID_WRL,1985,16.686186,66.455
World,OWID_WRL,1986,13.802792,89.155
World,OWID_WRL,1987,11.734707,113.655
World,OWID_WRL,1988,10.960708,140.6
World,OWID_WRL,1989,11.327412,173.35
World,OWID_WRL,1990,11.7160635,212.3
World,OWID_WRL,1991,10.853333,257.15
World,OWID_WRL,1992,10.111405,309.05
World,OWID_WRL,1993,9.45594,365.9
World,OWID_WRL,1994,8.945153,423.75
World,OWID_WRL,1995,8.270751,489.25
World,OWID_WRL,1996,7.7322893,565
World,OWID_WRL,1997,7.705326,650.8
World,OWID_WRL,1998,6.9432726,771
World,OWID_WRL,1999,6.413923,914.5
World,OWID_WRL,2000,6.2943754,1103
World,OWID_WRL,2001,6.089497,1373
World,OWID_WRL,2002,5.5689664,1738.5
World,OWID_WRL,2003,5.2943115,2229.2056
World,OWID_WRL,2004,4.5554976,2915.301
World,OWID_WRL,2005,4.604172,4390.342
World,OWID_WRL,2006,5.0185194,5911.621
World,OWID_WRL,2007,5.055688,8265.911
World,OWID_WRL,2008,4.607598,14444.872
World,OWID_WRL,2009,3.0796502,22483.379
World,OWID_WRL,2010,2.4433622,39732.754
World,OWID_WRL,2011,2.0047348,70189.305
World,OWID_WRL,2012,1.0804502,99017.23
World,OWID_WRL,2013,0.8332635,134040.23
World,OWID_WRL,2014,0.7689895,172168.69
World,OWID_WRL,2015,0.7156806,219262.03
World,OWID_WRL,2016,0.6617146,290561.2
World,OWID_WRL,2017,0.5557844,384045.12
World,OWID_WRL,2018,0.49517947,477686.5
World,OWID_WRL,2019,0.45422456,578978.2
World,OWID_WRL,2020,0.35966694,709092.7
World,OWID_WRL,2021,0.32287797,851793.5
World,OWID_WRL,2022,0.35583413,1044311.4
World,OWID_WRL,2023,0.3129992,1400622
World,OWID_WRL,2024,0.2579602,1852358.9